이닝,공격팀구분,타자명,투수명,투구ID,상대타석내구수,구종(stuff),구속(speed),좌우위치(crossPlateX),상하위치(crossPlateY),S존상단(topSz),S존하단(bottomSz),타자타석방향(stance),초속X(vx0),초속Y(vy0),초속Z(vz0),가속도X(ax),가속도Y(ay),가속도Z(az),텍스트로그
1,Away,황영묵,올러,260506_183017,1,직구,151.0,-1.21022,0.7083,3.272,1.587,L,5.53649,-135.717,-3.13678,-15.4778,28.1269,-19.2878,황영묵 : 좌익수 플라이 아웃
1,Away,페라자,올러,260506_183234,1,직구,152.0,0.043483,0.7083,3.25,1.576,L,7.93147,-136.523,-4.69569,-16.8254,28.4538,-17.0735,페라자 : 3루수 파울플라이 아웃
1,Away,문현빈,올러,260506_183321,1,직구,150.0,0.094586,0.7083,3.17,1.537,L,7.52432,-135.041,-5.78251,-13.1513,28.9214,-18.0463,문현빈 : 좌익수 플라이 아웃
1,Away,황영묵,올러,260506_183032,2,직구,150.0,-0.312954,0.7083,3.272,1.587,L,6.67064,-134.673,-5.67394,-13.9483,27.3671,-15.4349,황영묵 : 좌익수 플라이 아웃
1,Away,문현빈,올러,260506_183338,2,직구,151.0,-0.320692,0.7083,3.17,1.537,L,6.05265,-135.328,-4.91869,-11.7935,31.3111,-16.6709,문현빈 : 좌익수 플라이 아웃
1,Away,황영묵,올러,260506_183051,3,직구,151.0,-0.876928,0.7083,3.272,1.587,L,5.12735,-134.832,-2.30541,-13.4145,24.7141,-20.6795,황영묵 : 좌익수 플라이 아웃
1,Away,황영묵,올러,260506_183110,4,직구,151.0,0.143088,0.7083,3.272,1.587,L,7.71292,-135.28,-3.04135,-13.051,28.9293,-18.7949,황영묵 : 좌익수 플라이 아웃
1,Away,황영묵,올러,260506_183136,5,직구,152.0,0.595762,0.7083,3.272,1.587,L,8.87832,-136.331,-2.65491,-13.1323,26.5431,-16.1954,황영묵 : 좌익수 플라이 아웃
1,Away,황영묵,올러,260506_183157,6,직구,153.0,0.207801,0.7083,3.272,1.587,L,8.01301,-136.777,-5.71571,-14.5659,28.1238,-14.1562,황영묵 : 좌익수 플라이 아웃
1,Home,박재현,류현진,260506_183608,1,직구,139.0,-0.847804,0.7083,3.329,1.615,L,-7.93196,-123.539,-6.52849,12.3077,26.2604,-16.3695,박재현 : 1루수 땅볼 아웃 (1루수 1루 터치아웃)
1,Home,김호령,류현진,260506_183645,1,직구,141.0,0.089155,0.7083,3.311,1.606,R,-7.09104,-126.525,-5.95764,16.1389,28.6039,-20.1253,김호령 : 3루수 번트 아웃 (3루수->1루수 송구아웃)
1,Home,김선빈,류현진,260506_183817,1,직구,143.0,0.893891,0.7083,3.045,1.477,R,-4.63932,-128.157,-6.24073,13.1409,27.6449,-13.8276,김선빈 : 볼넷
1,Home,김도영,류현진,260506_184003,1,직구,144.0,-0.557992,0.7083,3.342,1.621,R,-7.18757,-128.23,-5.31092,10.757,26.4605,-15.9363,김도영 : 좌익수 왼쪽 2루타
1,Home,아데를린,류현진,260506_184058,1,커브,110.0,0.566911,0.7083,3.453,1.675,R,-0.226321,-98.9114,5.23522,-6.82519,20.0031,-42.3615,아데를린 : 삼진 아웃
1,Home,김호령,류현진,260506_183703,2,직구,143.0,-0.614094,0.7083,3.311,1.606,R,-7.83928,-127.731,-2.82186,13.9964,26.0444,-20.3298,김호령 : 3루수 번트 아웃 (3루수->1루수 송구아웃)
1,Home,김선빈,류현진,260506_183834,2,직구,143.0,-1.1153,0.7083,3.045,1.477,R,-8.93747,-127.793,-8.83842,12.9437,24.0614,-12.6453,김선빈 : 볼넷
1,Home,아데를린,류현진,260506_184117,2,체인지업,129.0,-0.675506,0.7083,3.453,1.675,R,-8.021,-115.5,-4.62107,14.1775,21.574,-19.5276,아데를린 : 삼진 아웃
1,Home,김선빈,류현진,260506_183850,3,직구,143.0,0.642336,0.7083,3.045,1.477,R,-4.83136,-128.688,-4.84117,11.6114,29.053,-16.7906,김선빈 : 볼넷
1,Home,아데를린,류현진,260506_184137,3,체인지업,127.0,1.15216,0.7083,3.453,1.675,R,-5.0464,-113.754,-2.58152,14.8543,19.6574,-24.4864,아데를린 : 삼진 아웃
1,Home,김선빈,류현진,260506_183908,4,직구,143.0,1.12984,0.7083,3.045,1.477,R,-4.40354,-129.146,-5.00689,14.2568,27.3835,-12.5428,김선빈 : 볼넷
